staSeq,type
14730,Beach
14788,Beach
14789,Beach
14882,Beach
14896,Beach
15068,Beach
15069,Beach
15894,Beach
15895,Beach
15896,Beach
15897,Beach
15898,Beach
15899,Beach
15900,Beach
15902,Beach
15903,Beach
15904,Beach
15905,Beach
15906,Beach
15907,Beach
15908,Beach
15909,Beach
15911,Beach
15912,Beach
15913,Beach
15914,Beach
15915,Beach
15916,Beach
15917,Beach
15922,Beach
15923,Beach
15927,Beach
15928,Beach
15929,Beach
15930,Beach
15931,Beach
15932,Beach
15935,Beach
15936,Beach
15937,Beach
15938,Beach
15940,Beach
15941,Beach
15942,Beach
15943,Beach
15944,Beach
15945,Beach
15946,Beach
15947,Beach
15948,Beach
15949,Beach
15950,Beach
15951,Beach
15952,Beach
15953,Beach
15954,Beach
16354,Beach
16355,Beach
17604,Beach
17750,Beach
14221,Biological
14226,Biological
14241,Biological
14314,Biological
14341,Biological
14391,Biological
14441,Biological
14442,Biological
14444,Biological
14450,Biological
14456,Biological
14470,Biological
14568,Biological
14578,Biological
14581,Biological
14584,Biological
14601,Biological
14605,Biological
14720,Biological
14799,Biological
14800,Biological
15116,Biological
15213,Biological
15240,Biological
15315,Biological
15327,Biological
15499,Biological
15530,Biological
15548,Biological
15680,Biological
15748,Biological
15796,Biological
15877,Biological
15878,Biological
16110,Biological
16133,Biological
16139,Biological
16335,Biological
16370,Biological
16692,Biological
16913,Biological
17033,Biological
17069,Biological
17707,Biological
17854,Biological
17889,Biological
18273,Biological
18723,Biological
19240,Biological
19880,Biological
19905,Biological
20023,Biological
20105,Biological
20194,Biological
20532,Biological
20743,Biological
20777,Biological
20778,Biological
20779,Biological
20780,Biological
20783,Biological
20847,Biological
20857,Biological
20868,Biological
20869,Biological
20870,Biological
20871,Biological
20872,Biological
20873,Biological
20874,Biological
14147,Chem Only
15036,Chem Only
17305,Chem Only
17574,Chem Only
17955,Chem Only
17957,Chem Only
14470,Conductivity
15304,Conductivity
15499,Conductivity
15783,Conductivity
15796,Conductivity
16139,Conductivity
16840,Conductivity
17553,Conductivity
17799,Conductivity
18769,Conductivity
19805,Conductivity
19806,Conductivity
19807,Conductivity
20801,Conductivity
15621,Lake
15639,Lake
15640,Lake
16030,Lake
16154,Lake
18676,Lake
19296,Lake
19300,Lake
19334,Lake
19350,Lake
19662,Lake
99902,Lake
14129,Temperature
14147,Temperature
14161,Temperature
14197,Temperature
14391,Temperature
14392,Temperature
14414,Temperature
14441,Temperature
14444,Temperature
14450,Temperature
14451,Temperature
14456,Temperature
14461,Temperature
14470,Temperature
14523,Temperature
14584,Temperature
14706,Temperature
14720,Temperature
14740,Temperature
14800,Temperature
14880,Temperature
15020,Temperature
15092,Temperature
15116,Temperature
15213,Temperature
15240,Temperature
15304,Temperature
15315,Temperature
15327,Temperature
15397,Temperature
15499,Temperature
15520,Temperature
15530,Temperature
15552,Temperature
15680,Temperature
15783,Temperature
15792,Temperature
15795,Temperature
15796,Temperature
15825,Temperature
15964,Temperature
16066,Temperature
16110,Temperature
16133,Temperature
16139,Temperature
16276,Temperature
16278,Temperature
16335,Temperature
16370,Temperature
16387,Temperature
16431,Temperature
16913,Temperature
17010,Temperature
17013,Temperature
17069,Temperature
17365,Temperature
17370,Temperature
17707,Temperature
17854,Temperature
19704,Temperature
19838,Temperature
20105,Temperature
20532,Temperature
20777,Temperature
20778,Temperature
20779,Temperature
20780,Temperature
20783,Temperature
20801,Temperature
20844,Temperature
20856,Temperature
20857,Temperature
20868,Temperature
20869,Temperature
20870,Temperature
20871,Temperature
20872,Temperature
20873,Temperature
20874,Temperature
14161,Trail Cam
14289,Trail Cam
15091,Trail Cam
15116,Trail Cam
15244,Trail Cam
15499,Trail Cam
15680,Trail Cam
15757,Trail Cam
15796,Trail Cam
15801,Trail Cam
15854,Trail Cam
16139,Trail Cam
16276,Trail Cam
16278,Trail Cam
16285,Trail Cam
16583,Trail Cam
16913,Trail Cam
17010,Trail Cam
17013,Trail Cam
17534,Trail Cam
17608,Trail Cam
17707,Trail Cam
17854,Trail Cam
18720,Trail Cam
19022,Trail Cam
19240,Trail Cam
19657,Trail Cam
19704,Trail Cam
19838,Trail Cam
20023,Trail Cam
20059,Trail Cam
20153,Trail Cam
20623,Trail Cam
20813,Trail Cam
20844,Trail Cam
20856,Trail Cam
20857,Trail Cam
99901,Trail Cam
